,title,Directed_by,Written_by,Produced_by,Starring,Cinematography,Edited_by,Music_by,Production_companies,Distributed_by,Country,Language,Running_time,Budget,Box_office,Release_dates (datetime),imdb,imdb_new,metascore,rotten_tomatoes
85,Midsommar,Ari Aster,Ari Aster,"['Patrik Andersson', 'Lars Knudsen']","['Florence Pugh', 'Jack Reynor', 'William Jackson Harper', 'Vilhelm Blomgren', 'Ellora Torchia', 'Archie Madekwe', 'Will Poulter']",Pawel Pogorzelski,Lucian Johnston,Bobby Krlic,"['Square Peg', 'B-Reel Films', 'A24']","['A24 (United States)', 'Nordisk Film (Sweden)']",,English,148,9000000,48000000,6/18/19,7.1,71.0,72.0,83.00%
97,First Cow,Kelly Reichardt,,"['Neil Kopp', 'Vincent Savino', 'Anish Savjani']","['John Magaro', 'Orion Lee', 'Toby Jones', 'Ewen Bremner', 'Scott Shepherd', 'Gary Farmer', 'Lily Gladstone']",Christopher Blauvelt,Kelly Reichardt,William Tyler,"['FilmScience', 'IAC Films']",A24,United States,English,121,2000000,1400000,8/30/19,7.1,71.0,89.0,96.00%
111,The Tragedy of Macbeth,Joel Coen,,"['Joel Coen', 'Frances McDormand', 'Robert Graf']","['Denzel Washington', 'Frances McDormand', 'Bertie Carvel', 'Alex Hassell', 'Corey Hawkins', 'Harry Melling', 'Brendan Gleeson']",Bruno Delbonnel,"['Lucian Johnston', 'Reginald Jaynes']",Carter Burwell,"['Apple Original Films', 'A24', 'IAC Films']","['Apple TV+', 'A24']",United States,English,105,,524771,9/24/21,7.1,71.0,87.0,93.00%
128,The Inspection,Elegance Bratton,Elegance Bratton,"['Effie T. Brown', 'Chester Algernal Gordon']","['Jeremy Pope', 'Raúl Castillo', 'McCaul Lombardi', 'Aaron Dominguez', 'Nicholas Logan', 'Eman Esfandi', 'Andrew Kai', 'Aubrey Joseph', 'Bokeem Woodbine', 'Gabrielle Union']",Lachlan Milne,Oriana Soddu,Animal Collective,"['A24', 'Gamechanger Films', 'Freedom Principle']",A24,United States,English,95,3000000,385627,9/8/22,7.1,71.0,73.0,89.00%
15,A Most Violent Year,J. C. Chandor,J. C. Chandor,"['J. C. Chandor', 'Neal Dodson', 'Anna Gerb']","['Oscar Isaac', 'Jessica Chastain', 'David Oyelowo', 'Alessandro Nivola', 'Albert Brooks', 'Elyes Gabel']",Bradford Young,Ron Patane,Alex Ebert,"['FilmNation Entertainment', 'Participant Media']",A24,United States,English,125,20000000,12000000,11/6/14,7.0,70.0,79.0,90.00%
31,Green Room,Jeremy Saulnier,Jeremy Saulnier,"['Neil Kopp', 'Victor Moyers', 'Anish Savjani']","['Anton Yelchin', 'Imogen Poots', 'Alia Shawkat', 'Joe Cole', 'Callum Turner', 'Patrick Stewart']",Sean Porter,Julia Bloch,"['Brooke Blair', 'Will Blair']","['Broad Green Pictures', 'FilmScience']",A24,United States,English,95,5000000,3800000,5/17/15,7.0,70.0,79.0,90.00%
40,American Honey,Andrea Arnold,Andrea Arnold,"['Thomas Benski', 'Lars Knudsen', 'Jay Van Hoy', 'Lucas Ochoa', 'Pouya Shahbazian', 'Alice Weinberg']","['Sasha Lane', 'Shia LaBeouf', 'Riley Keough']",Robbie Ryan,Joe Bini,,"['British Film Institute', 'Film4 Productions', 'ManDown Pictures', 'Maven Pictures', 'Parts & Laboratory', 'Pulse Films']","['A24 (North America)', 'Focus Features Universal Pictures (international)']",,English,163,3500000,2300000,5/15/16,7.0,70.0,80.0,79.00%
56,The Killing of a Sacred Deer,Yorgos Lanthimos,,"['Ed Guiney', 'Yorgos Lanthimos']","['Colin Farrell', 'Nicole Kidman', 'Barry Keoghan', 'Raffey Cassidy', 'Sunny Suljic', 'Alicia Silverstone', 'Bill Camp']",Thimios Bakatakis,Yorgos Mavropsaridis,,"['Film4', 'New Sparta Films', 'HanWay Films', 'Bord Scannán na hÉireann/The Irish Film Board', 'Element Pictures', 'Limp']","['Curzon Artificial Eye (United Kingdom and Ireland)', 'Haut et Court (France)']",,English,121,,7000000,5/22/17,7.0,70.0,73.0,79.00%
121,Pearl,Ti West,"['Ti West', 'Mia Goth']","['Jacob Jaffke', 'Ti West', 'Kevin Turen', 'Harrison Kreiss']","['Mia Goth', 'David Corenswet', 'Tandi Wright', 'Matthew Sunderland', 'Emma Jenkins-Purro', 'Alistair Sewell']",Eliot Rockett,Ti West,"['Tyler Bates', 'Tim Williams']","['Little Lamb', 'Mad Solar Productions']",A24,,English,102,1000000,9400000,9/3/22,7.0,70.0,73.0,91.00%
5,Enemy,Denis Villeneuve,,"['M. A. Faura', 'Niv Fichman']","['Jake Gyllenhaal', 'Mélanie Laurent', 'Sarah Gadon', 'Isabella Rossellini']",Nicolas Bolduc,Matthew Hannam,"['Daniel Bensi', 'Saunder Jurriaans']","['Pathé', 'Entertainment One', 'Telefilm Canada', 'Corus Entertainment', 'Televisión Española', 'Movie Central', 'The Movie Network', 'Ontario Media Development Corporation', 'Mecanismo Films', 'micro_scope', 'Rhombus Media', 'Roxbury Pictures']","['Entertainment One', 'Alfa Pictures', 'Condor Entertainment']",,English,90,,3500000,9/8/13,6.9,69.0,61.0,71.00%
20,Slow West,John Maclean,John Maclean,"['Iain Canning', 'Michael Fassbender', 'Rachel Gardner', 'Conor McCaughan', 'Emile Sherman']","['Kodi Smit-McPhee', 'Michael Fassbender', 'Ben Mendelsohn', 'Caren Pistorius', 'Rory McCann']",Robbie Ryan,John Maclean,Jed Kurzel,"['DMC Film', 'Film4 Productions', 'New Zealand Film Commission', 'See-Saw Films', 'DirecTV Cinema']","['Lionsgate', 'Transmission Films', 'Madman Entertainment']",,English,84,,1300000,1/24/15,6.9,69.0,72.0,92.00%
28,The Witch,Robert Eggers,Robert Eggers,"['Jay Van Hoy', 'Lars Knudsen', 'Jodi Redmond', 'Daniel Bekerman', 'Rodrigo Teixeira']","['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie', 'Harvey Scrimshaw', 'Ellie Grainger', 'Lucas Dawson']",Jarin Blaschke,Louise Ford,Mark Korven,"['Parts and Labor', 'RT Features', 'Rooks Nest Entertainment', 'Maiden Voyage Pictures', 'Mott Street Pictures', 'Code Red Productions', 'Scythia Films', 'Pulse Films', 'Special Projects']","['A24 (United States)', 'Elevation Pictures (Canada)']",,Early Modern English,92,4000000,40400000,1/27/15,6.9,69.0,83.0,90.00%
35,Swiss Army Man,"['Daniel Scheinert', 'Daniel Kwan']","['Daniel Scheinert', 'Daniel Kwan']","['Eval Rimmon', 'Lauren Mann', 'Lawrence Inglee', 'Jonathan Wang', 'Miranda Bailey', 'Amanda Marshall']","['Paul Dano', 'Daniel Radcliffe', 'Mary Elizabeth Winstead']",Larkin Seiple,Matthew Hannam,"['Andy Hull', 'Robert McDowell']","['Tadmor', 'Astrakan Films AB', 'Cold Iron Pictures', 'Blackbird Films', 'Prettybird']",A24,United States,English,97,3000000,5800000,1/22/16,6.9,69.0,64.0,72.00%
62,The Last Movie Star,Adam Rifkin,Adam Rifkin,"['Brian Cavallaro', 'Neil Mandt', 'Adam Rifkin', 'Gordon Whitener']","['Burt Reynolds', 'Ariel Winter', 'Clark Duke', 'Ellar Coltrane', 'Chevy Chase']",Scott Winig,Dan Flesher,['Austin Wintory'],"['Whitener Entertainment Group', 'Mandt Bros. Productions']",A24,United States,English,103,,14410,4/22/17,6.9,69.0,46.0,59.00%
78,Climax,Gaspar Noé,Gaspar Noé,"['Edouard Weil', 'Vincent Maraval', 'Richard Grandpierre']","['Sofia Boutella', 'Kiddy Smile', 'Romain Guillermic', 'Souheila Yacoub', 'Claude Gajan Maull', 'Giselle Palmer', 'Taylor Kastle', 'Thea Carla Schøtt']",Benoît Debie,"['Denis Bedlow', 'Gaspar Noé']",Thomas Bangalter,"['Rectangle Productions', 'Wild Bunch']","[""O'Brother Distribution (Belgium)"", 'Wild Bunch (France)']",,,96,2900000,1700000,5/13/18,6.9,69.0,67.0,69.00%
