name,pubpriv,enrollment,allvaccs,conditional,medical,religious,dptMiss,polMiss,mmrMiss,hepMiss,varMiss
LAKEVIEW ELEMENTARY,PUBLIC,151,93.37748344,3.973509934,0,2.649006623,4.635761589,3.311258278,3.311258278,4.635761589,3.973509934
FREEMAN (DANIEL) ELEMENTARY,PUBLIC,78,89.74358974,8.974358974,0,1.282051282,7.692307692,8.974358974,6.41025641,3.846153846,1.282051282
WESTERLY SCHOOL OF LONG BEACH,PRIVATE,19,100,0,0,0,0,0,0,0,0
MONTEREY HEIGHTS ELEMENTARY,PUBLIC,56,100,0,0,0,0,0,0,0,0
CUYAMA ELEMENTARY,PUBLIC,23,95.65217391,0,0,4.347826087,4.347826087,4.347826087,4.347826087,4.347826087,4.347826087
THE PHOENIX SCHOOL,PRIVATE,60,93.33333333,3.333333333,0,3.333333333,6.666666667,6.666666667,5,3.333333333,3.333333333
COOK (HAZEL GOES) ELEMENTARY,PUBLIC,57,96.49122807,3.50877193,0,0,3.50877193,3.50877193,3.50877193,1.754385965,0
HAWAIIAN ELEMENTARY,PUBLIC,50,100,0,0,0,0,0,0,0,0
MOUNTAIN VIEW ELEMENTARY,PUBLIC,111,99.0990991,0.900900901,0,0,0.900900901,0.900900901,0.900900901,0,0
LATROBE ELEMENTARY,PUBLIC,13,84.61538462,15.38461538,0,0,15.38461538,15.38461538,15.38461538,15.38461538,7.692307692
ORO GRANDE ELEMENTARY,PUBLIC,18,83.33333333,16.66666667,0,0,11.11111111,11.11111111,16.66666667,5.555555556,5.555555556
TWIN RIDGES HOME STUDY CHARTER,PUBLIC,12,16.66666667,8.333333333,0,75,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333
LONE TREE ELEMENTARY,PUBLIC,116,59.48275862,40.51724138,0,0,29.31034483,14.65517241,15.51724138,12.06896552,6.896551724
JIM THORPE FUNDAMENTAL,PUBLIC,180,97.77777778,2.222222222,0,0,1.666666667,1.666666667,1.666666667,0.555555556,1.111111111
ST. GABRIEL ELEMENTARY,PRIVATE,51,98.03921569,1.960784314,0,0,0,0,0,1.960784314,0
MESA ROBLES,PUBLIC,71,95.77464789,0,0,4.225352113,4.225352113,4.225352113,4.225352113,4.225352113,4.225352113
ROEDING ELEMENTARY,PUBLIC,125,76,24,0,0,24,24,24,24,24
RIVERVIEW ELEMENTARY,PUBLIC,112,96.42857143,0,0,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571
HIGHLAND OAKS ELEMENTARY,PUBLIC,114,98.24561404,1.754385965,0,0,0,0.877192982,0,0.877192982,0
GLENKNOLL ELEMENTARY,PUBLIC,69,97.10144928,0,0,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725
VALENCIA VALLEY ELEMENTARY,PUBLIC,87,94.25287356,5.747126437,0,0,3.448275862,3.448275862,2.298850575,1.149425287,1.149425287
WILLIAM B. BIMAT ELEMENTARY,PUBLIC,53,84.90566038,5.660377358,0,9.433962264,11.32075472,11.32075472,11.32075472,15.09433962,9.433962264
ST. ODILIA ELEMENTARY,PRIVATE,32,100,0,0,0,0,0,0,0,0
COARSEGOLD ELEMENTARY,PUBLIC,46,100,0,0,0,0,0,0,0,0
SHIRPSER ELEMENTARY,PUBLIC,95,94.73684211,4.210526316,0,1.052631579,5.263157895,5.263157895,5.263157895,1.052631579,1.052631579
HARBOUR VIEW ELEMENTARY,PUBLIC,164,93.29268293,2.43902439,4.268292683,0,6.097560976,6.097560976,6.707317073,4.87804878,4.268292683
NEWLAND (WILLIAM T.) ELEMENTARY,PUBLIC,101,79.20792079,10.89108911,0,9.900990099,20.79207921,20.79207921,20.79207921,9.900990099,9.900990099
READY SPRINGS ELEMENTARY,PUBLIC,33,75.75757576,6.060606061,0,18.18181818,24.24242424,24.24242424,24.24242424,18.18181818,18.18181818
MCPHERSON ELEMENTARY,PUBLIC,77,100,0,0,0,0,0,0,0,0
MONTEREY RIDGE ELEMENTARY,PUBLIC,199,95.9798995,0,0.502512563,3.51758794,4.020100503,4.020100503,4.020100503,4.020100503,4.020100503
E. J. MARSHALL ELEMENTARY,PUBLIC,54,100,0,0,0,0,0,0,0,0
OAK RIDGE ELEMENTARY,PUBLIC,98,94.89795918,5.102040816,0,0,5.102040816,5.102040816,4.081632653,3.06122449,3.06122449
SYLVAN PARK ELEMENTARY,PUBLIC,194,98.96907216,1.030927835,0,0,0,0,0.515463918,0,0.515463918
LAUREL ELEMENTARY,PUBLIC,74,98.64864865,0,0,1.351351351,1.351351351,1.351351351,1.351351351,1.351351351,1.351351351
CARMICHAEL (BESSIE)/FEC,PUBLIC,80,88.75,10,1.25,0,7.5,10,5,7.5,7.5
LIBERTY CHRISTIAN SCHOOL,PRIVATE,15,73.33333333,6.666666667,0,20,26.66666667,26.66666667,26.66666667,20,20
OAK KNOLL KINDERHAUS MONTESSORI,PRIVATE,10,40,0,0,60,60,60,60,60,60
GOLD RIVER DISCOVERY CENTER K-8,PUBLIC,91,97.8021978,0,0,2.197802198,2.197802198,2.197802198,2.197802198,2.197802198,2.197802198
MARY MCLEOD BETHUNE ELEMENTARY,PUBLIC,126,93.65079365,3.174603175,0,3.174603175,5.555555556,3.174603175,4.761904762,3.174603175,3.174603175
MARBLEHEAD ELEMENTARY,PUBLIC,47,70.21276596,10.63829787,2.127659574,17.0212766,27.65957447,27.65957447,29.78723404,21.27659574,21.27659574
VIKING ELEMENTARY,PUBLIC,135,70.37037037,26.66666667,0,2.962962963,28.88888889,28.88888889,28.88888889,29.62962963,28.88888889
SELMA HERNDON ELEMENTARY,PUBLIC,115,99.13043478,0.869565217,0,0,0.869565217,0,0,0,0
SAN FERNANDO ELEMENTARY,PUBLIC,122,94.26229508,5.737704918,0,0,3.278688525,3.278688525,4.098360656,0.819672131,0
KAVOD ELEMENTARY CHARTER,PUBLIC,24,87.5,12.5,0,0,4.166666667,4.166666667,12.5,4.166666667,4.166666667
AROMAS ELEMENTARY,PUBLIC,40,90,7.5,0,2.5,10,10,10,2.5,2.5
CLINTON-MENDENHALL ELEMENTARY,PUBLIC,101,100,0,0,0,0,0,0,0,0
THE ROCK CHRISTIAN SCHOOL,PRIVATE,20,95,0,0,5,5,5,5,5,5
CROWNE HILL ELEMENTARY,PUBLIC,100,86,4,0,10,14,14,14,14,14
ALAMO ELEMENTARY,PUBLIC,85,87.05882353,11.76470588,0,1.176470588,10.58823529,9.411764706,4.705882353,9.411764706,8.235294118
CALVARY CHAPEL RIALTO CHRISTIAN,PRIVATE,13,92.30769231,7.692307692,0,0,7.692307692,0,7.692307692,0,7.692307692
FREMONT ELEMENTARY,PUBLIC,74,100,0,0,0,0,0,0,0,0
MARTIN LUTHER KING JR. ELEMENTARY,PUBLIC,44,93.18181818,0,2.272727273,4.545454545,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818
E. HALE CURRAN ELEMENTARY,PUBLIC,104,94.23076923,1.923076923,0,3.846153846,4.807692308,4.807692308,5.769230769,3.846153846,3.846153846
EUCALYPTUS,PUBLIC,198,93.93939394,6.060606061,0,0,5.555555556,5.050505051,4.04040404,2.02020202,3.535353535
ASSUMPTION,PRIVATE,24,95.83333333,0,4.166666667,0,4.166666667,4.166666667,4.166666667,4.166666667,4.166666667
CHERRY VALLEY BRETHREN SCHOOL,PRIVATE,29,75.86206897,20.68965517,3.448275862,0,3.448275862,3.448275862,24.13793103,3.448275862,3.448275862
BUENA VISTA ELEMENTARY,PUBLIC,73,94.52054795,5.479452055,0,0,5.479452055,5.479452055,2.739726027,1.369863014,1.369863014
NORTH BROADWAY ELEMENTARY,PUBLIC,106,95.28301887,0.943396226,0,3.773584906,4.716981132,3.773584906,4.716981132,3.773584906,3.773584906
CALIFORNIA VIRTUAL ACADEMY @ SAN JOAQUIN,PUBLIC,87,70.11494253,1.149425287,0,28.73563218,29.88505747,29.88505747,29.88505747,28.73563218,28.73563218
OCCS:CHEP/PCHS,PUBLIC,85,82.35294118,4.705882353,0,12.94117647,16.47058824,16.47058824,17.64705882,14.11764706,14.11764706
